sp_id1,gen
4384,Salinibacterium
4386,Humibacter
4387,Gryllotalpicola
4388,Protaetiibacter
4389,Plantibacter
4390,Leucobacter
4392,Arthrobacter
4408,Psychromicrobium
4409,Paenarthrobacter
4410,Pseudarthrobacter
4413,Glutamicibacter
4415,Renibacterium
4416,Kocuria
4419,Micrococcus
4420,Rothia
4423,Sinomonas
4424,Neomicrococcus
4425,Auritidibacter
4426,Beutenbergia
4427,Brachybacterium
4433,Dermabacter
4434,Jonesia
4435,Kytococcus
4436,Dermacoccus
4437,Luteipulveratus
4438,Xylanimonas
4439,Isoptericola
4441,Cellulosimicrobium
4443,Xylanimicrobium
4444,Xylanibacterium
4445,Sanguibacter
4446,Cellulomonas
4450,Intrasporangium
4451,Arsenicicoccus
4452,Serinicoccus
4453,Janibacter
4454,Ornithinimicrobium
4455,Brevibacterium
4457,Dermatophilus
4458,Cutibacterium
4472,Propionibacterium
4476,Pseudopropionibacterium
4477,Acidipropionibacterium
4481,Microlunatus
4482,Tessaracoccus
4486,Nocardioides
4488,Kribbella
4489,Pimelobacter
4490,Aeromicrobium
4493,Micropruina
4494,Thermobifida
4495,Nocardiopsis
4498,Thermomonospora
4499,Streptosporangium
4500,Nonomuraea
4501,Frankia
4506,Acidothermus
4507,Nakamurella
4509,Geodermatophilus
4510,Blastococcus
4511,Modestobacter
4512,Kineococcus
4513,Saccharopolyspora
4514,Saccharomonospora
4515,Amycolatopsis
4525,Pseudonocardia
4532,Actinosynnema
4534,Saccharothrix
4535,Kutzneria
4536,Kibdelosporangium
4537,Lentzea
4538,Actinoalloteichus
4543,Alloactinosynnema
4544,Prauserella
4545,Salinispora
4547,Micromonospora
4551,Verrucosispora
4552,Actinoplanes
4557,Plantactinospora
4560,Catenulispora
4561,Stackebrandtia
4562,Arcanobacterium
4563,Mobiluncus
4564,Trueperella
4566,Actinotignum
4567,Actinobaculum
4568,Schaalia
4569,Actinomyces
4577,Flaviflexus
4579,Bifidobacterium
4634,Gardnerella
4637,Scardovia
4638,Parascardovia
4639,Thermobispora
4640,Actinopolyspora
4641,Candidatus Planktophila
4647,Candidatus Nanopelagicus
4650,unclassified Actinobacteria
4651,Rubrobacter
4653,Conexibacter
4654,Acidimicrobium
4655,Ilumatobacter
4656,Cryptobacterium
4657,Slackia
4658,Eggerthella
4660,Gordonibacter
4661,Adlercreutzia
4662,Denitrobacterium
4663,Atopobium
4664,Olsenella
4666,Parolsenella
4667,Coriobacterium
4668,Collinsella
4669,unclassified Coriobacteriaceae
4670,Synechocystis
4678,Synechococcus
4699,Thermosynechococcus
4701,Cyanobium
4703,Dactylococcopsis
4704,Chamaesiphon
4705,Leptolyngbya
4709,Halomicronema
4710,Pseudanabaena
4712,Prochlorococcus
4726,Acaryochloris
4727,Microcystis
4730,Cyanobacterium
4733,Halothece
4734,Candidatus Atelocyanobacterium
4735,Crocosphaera
4736,Gloeocapsa
4737,Geminocystis
4739,Chondrocystis
4741,Rippkaea
4742,Gloeothece
4743,Cyanothece
4746,Trichodesmium
4747,Microcoleus
4748,Arthrospira
4749,Planktothrix
4750,Geitlerinema
4751,Oscillatoria
4753,Moorea
4754,Crinalium
4755,Gloeobacter
4757,Nostoc
4764,Trichormus
4766,Anabaena
4769,Cylindrospermum
4770,Calothrix
4773,Rivularia
4774,Fischerella
4775,Nodularia
4776,unclassified Nostocales
4777,Chroococcidiopsis
4778,Pleurocapsa
4779,Stanieria
4781,unclassified Cyanobacteria
4783,unclassified Candidatus Melainabacteria
4784,Dehalococcoides
4796,Dehalogenimonas
4799,Roseiflexus
4801,Chloroflexus
4804,Herpetosiphon
4805,Thermomicrobium
4806,Sphaerobacter
4807,Anaerolinea
4808,Brevefilum
4809,Pelolinea
4810,unclassified Anaerolineaceae
4811,Caldilinea
4812,Candidatus Promineofilum
4813,Deinococcus
4827,Truepera
4828,Thermus
4838,Meiothermus
4842,Oceanithermus
4843,Marinithermus
4844,Chthonomonas
4845,Fimbriimonas
4846,Thermobaculum
4847,Chlamydia
4961,Candidatus Protochlamydia
4963,Parachlamydia
4964,Waddlia
4965,Simkania
4966,Opitutus
4967,Lacunisphaera
4968,unclassified Opitutaceae
4969,Coraliomargarita
4970,Akkermansia
4972,Candidatus Xiphinematobacter
4973,Methylacidiphilum
4974,unclassified Verrucomicrobia
4976,Rhodopirellula
4977,Pirellula
4979,Planctopirus
4980,Rubinisphaera
4981,Planctomyces
4983,Fuerstia
4984,Thermogutta
4985,Gemmata
4987,Isosphaera
4988,Singulisphaera
4989,Paludisphaera
4990,Candidatus Kuenenia
4991,Phycisphaera
4992,Sedimentisphaera
4994,Limihaloglobus
4995,Kiritimatiella
4996,unclassified Victivallales
4997,Borreliella
5016,Borrelia
5027,Treponema
5048,Sediminispirochaeta
5049,Spirochaeta
5052,Sphaerochaeta
5055,Salinispira
5056,Leptospira
5068,Turneriella
5069,Brachyspira
5078,Candidatus Koribacter
5079,Acidobacterium
5080,Granulicella
5082,Terriglobus
5084,Acidisarcina
5085,Candidatus Solibacter
5086,Chloracidobacterium
5087,Luteitalea
5088,Elusimicrobium
5089,Endomicrobium
5091,Uncultured Termite group 1
5092,Fusobacterium
5103,Ilyobacter
5104,Leptotrichia
5108,Sebaldella
5109,Streptobacillus
5110,Sneathia
5111,Thermanaerovibrio
5112,Aminobacterium
5113,Thermovirga
